,match_outcome
243,1
384,1
161,1
672,1
295,1
162,0
975,1
260,0
888,0
918,0
421,0
1059,0
515,0
763,1
239,1
420,1
981,1
790,0
950,0
819,0
579,1
89,0
279,1
475,0
67,0
635,2
1022,2
843,0
253,0
780,2
545,0
897,0
822,0
7,1
127,1
829,1
805,0
1005,1
872,1
482,0
835,1
339,1
914,1
381,1
217,0
132,0
368,0
513,0
355,2
446,1
824,0
318,1
507,1
863,1
546,1
942,1
234,1
351,1
797,1
114,0
122,0
736,1
468,1
105,2
851,1
176,0
600,0
192,0
954,2
436,0
52,2
575,0
725,1
1067,1
632,1
1071,2
501,2
698,0
319,0
25,0
331,0
182,0
525,0
711,2
526,1
714,0
1092,0
1032,0
828,1
209,0
787,1
394,1
1013,2
11,0
183,1
690,0
811,2
434,2
1046,2
1009,0
870,2
265,0
156,1
585,2
488,0
445,0
528,0
1040,0
717,1
168,1
569,1
208,1
989,1
418,0
330,0
498,0
364,2
856,1
0,1
667,2
917,0
1076,0
1074,0
379,1
297,1
852,1
820,0
718,1
610,1
589,0
612,0
405,2
597,0
968,0
91,1
683,1
687,0
131,1
385,1
1087,0
185,2
85,0
240,2
720,1
1051,1
213,1
358,0
75,0
547,2
173,1
979,0
44,2
435,0
170,1
179,1
678,1
467,1
840,2
713,0
618,0
848,2
1038,1
570,0
821,1
543,0
967,1
539,0
286,2
514,0
352,2
342,0
28,1
706,0
877,0
617,0
415,2
741,1
481,1
382,0
665,1
522,0
314,2
669,2
491,0
568,0
377,0
221,2
951,0
210,0
57,1
267,0
19,1
400,0
765,0
518,0
616,1
904,1
247,2
206,0
700,1
150,1
729,1
469,0
556,2
417,1
682,2
761,0
869,0
111,0
215,2
438,0
502,0
1094,1
613,1
565,2
966,2
1057,1
14,2
521,0
37,0
766,0
1065,0
15,2
794,0
137,0
166,0
361,1
675,1
375,1
874,1
45,2
560,0
911,1
642,0
601,0
402,0
1062,0
238,0
705,1
607,2
685,0
349,1
974,0
1056,0
58,0
337,2
834,0
740,1
1033,1
462,0
276,2
668,0
909,0
6,1
134,0
1045,1
938,0
921,0
112,1
369,0
894,0
455,0
963,2
816,0
991,0
744,1
1000,0
751,1
658,0
771,1
207,0
530,2
326,1
571,0
831,2
1020,0
584,2
704,0
346,0
592,2
806,0
535,1
732,1
895,0
1054,0
922,1
779,0
224,1
1055,0
119,2
809,1
916,0
1,0
627,0
334,0
619,1
912,1
615,1
335,0
1018,1
574,1
71,2
125,2
218,0
271,0
656,1
712,1
367,1
374,1
187,1
892,1
34,0
926,2
541,1
715,1
875,0
659,1
887,1
309,0
139,0
231,0
32,2
724,2
414,1
649,2
722,0
901,1
583,0
937,0
747,0
257,0
136,0
356,0
982,1
72,0
1007,2
1030,1
5,1
178,0
1050,0
94,0
1058,0
200,0
1017,0
999,1
789,1
69,2
403,1
590,1
443,2
242,1
1082,0
684,1
703,0
345,1
142,0
77,2
857,0
784,1
511,2
573,0
500,1
1034,2
641,0
896,1
363,1
558,1
204,1
707,2
1091,1
737,2
117,0
205,0
296,0
955,0
803,0
772,1
129,1
248,0
564,0
86,2
664,1
833,1
406,0
186,0
24,0
492,0
141,2
648,2
220,2
203,0
1011,0
701,0
397,0
907,2
563,1
439,0
924,0
426,1
300,1
440,1
654,1
881,2
760,1
228,2
681,1
246,1
149,1
873,1
657,0
155,1
126,0
538,0
366,1
453,1
746,0
884,1
65,0
16,1
939,1
464,2
1089,0
753,1
940,2
324,0
64,1
984,0
495,2
39,0
755,2
235,0
956,1
532,2
1028,1
673,0
471,0
158,0
620,0
451,1
167,1
961,1
427,0
710,0
839,0
677,2
944,0
304,0
165,1
290,0
1066,1
107,1
636,2
758,1
191,2
148,0
311,0
890,1
477,2
549,1
882,2
773,1
258,0
931,2
555,1
12,0
891,0
13,2
846,1
680,1
360,0
855,1
727,2
889,1
1036,0
474,0
609,0
962,1
674,0
29,0
110,0
174,1
74,0
84,0
582,1
527,1
396,2
193,0
697,2
272,0
913,1
484,0
842,0
78,0
254,1
983,0
519,1
409,0
1083,1
50,1
871,0
95,0
459,2
463,0
373,0
651,0
769,0
1004,1
51,1
801,0
671,0
399,0
188,1
293,1
9,1
827,0
949,0
692,1
97,0
164,0
988,1
281,2
195,0
948,1
370,2
1075,0
614,2
902,0
861,0
1063,1
1090,1
93,0
1077,0
995,0
774,0
792,1
486,0
553,2
826,0
362,2
189,0
934,1
1044,2
1053,0
631,1
336,1
506,0
428,1
68,1
113,1
287,1
270,2
742,0
660,0
1002,2
978,0
73,0
383,2
225,0
814,1
804,0
312,0
860,2
602,0
544,2
1070,0
264,0
437,1
20,0
879,0
259,1
910,0
764,0
825,0
517,1
1043,1
639,0
624,1
745,1
743,1
280,1
647,1
66,0
739,1
580,2
735,2
433,0
1031,1
487,0
380,0
255,0
885,0
759,1
637,1
663,2
147,1
354,0
943,2
42,0
1015,1
104,1
577,1
422,0
30,0
721,1
969,1
866,1
338,0
908,0
201,1
630,2
241,1
476,1
372,1
932,1
143,1
783,2
694,2
441,1
48,1
633,2
55,1
702,0
941,0
1025,0
299,0
867,0
972,2
576,1
933,0
447,0
1014,1
634,2
291,0
390,0
586,1
465,0
277,2
123,0
1024,2
197,1
40,2
233,0
298,1
359,0
38,1
1072,1
392,1
993,0
317,1
782,1
670,2
1049,0
1085,2
160,0
389,0
278,1
49,0
849,0
90,0
603,0
493,1
353,0
388,0
661,0
128,2
449,2
237,1
419,1
928,0
626,1
226,0
329,1
130,0
1068,0
807,0
211,1
350,0
393,1
537,1
343,0
770,0
919,2
262,0
473,2
965,0
347,0
480,1
118,2
754,0
986,2
371,1
424,2
99,0
785,0
992,1
62,1
559,1
581,2
135,2
425,1
696,1
838,0
412,1
282,0
608,1
1061,1
450,2
378,0
622,0
810,0
588,0
391,1
945,0
56,0
46,0
283,1
929,1
456,0
357,0
27,2
655,1
1060,0
490,0
41,1
83,0
1035,1
987,0
1088,0
1047,0
850,0
232,2
748,2
512,1
762,0
709,0
103,0
767,1
858,1
1073,0
219,2
340,1
621,2
1093,1
832,2
628,0
308,1
540,0
196,1
310,1
140,2
315,1
275,0
33,0
322,2
920,1
708,0
472,0
572,2
108,1
2,2
263,2
845,1
862,1
695,1
802,1
294,0
